id,text,playCount,shareCount,commentCount,authorMeta_name,authorMeta_nickName,authorMeta_verified,musicMeta_musicName,musicMeta_musicAuthor,musicMeta_musicOriginal,videoMeta_duration
6890594872328195333,Reply to @lucasneal1 comment any other ideas if you want #fyp #foryou #foryoupage #HolidayTikTok  #RnBVibes  #timewarpscan,111100,210,466,bundaddy,bundaddy,False,original sound,bundaddy,True,58
6883894825855274242,АКАШИИИ#НиШагуБезDETTOL #fupシ #anime #волейболаниме #волейбол #haikyuu #анимеэдит #animeedit #bokuto #akashi #kageyama #hinata,72700,384,140,salamander.5,I like the view🌈,False,Чёртовы вороны,I like the view🌈,True,11
6900735754700459270,Reply to @jaredwiggins2832 #foryoupage #fyp #foryou #powerlifting #bodybuilding #deadlift #fitness #workout #fittok #powertok,78300,11,112,timmytimmadome,Tim Thebodeau,False,original sound,Tim Thebodeau,True,28
6879705053884697858,#life #is #a #beautiful😍 #story,55100,873,0,jebijude59,Jeby Jude,False,original sound,srilankan🔴 boy🔵,True,10
6908113835845012742,mood 🤣 / #fyp #foryou #melodictechno #housemusic #techno #eletronicmusic,2900000,21400,1890,techempires,TECH EMPIRES,False,som original,TECH EMPIRES,True,8
6897005299798936834,MiG-31 #axaviacion #fyp #foryou #parati #transition #devilchallenge #foryoupage #russia #vladimirputin,36000,37,76,axaviationdefence,AX Aviación Defensa,False,original sound,hoopsnation,True,14
6895703273773321474,#cake #dripcake #vainilla #chantilly #happybirthday #dulce #chocolate #destacame #foryou #parati #tiktok #bombom,207900,195,94,mr.vigo_,MR.VIGO,False,sonido original,Atenas Novoa,True,14
6906841661821717762,අප්‍රේල් 21 ප්‍රහාරය සම්බන්ධයෙන් විමර්ශනය කරන ජනාධිපති පරීක්ෂණ කොමිෂන් සභාවේ පොලිස් ඒකකය වෙත ප්‍රකාශයක් ලබා දිමට රජයේ අධිනීතිඥ නිරාෂා ජයරත්න පැමිණියා.,25800,44,11,news1st,Newsfirst Sri Lanka,True,original sound - Newsfirst Sri Lanka,Newsfirst Sri Lanka,True,59
6899555224801791234,#horadearrasar #fy #foryou #f #sentanofazedeiro,33800,39,82,jailsonjuniorrc,Jailson Júnior,False,Senta no Fazendeiro,Mc Jacare,False,13
6882508731343506694,This is me #fyp #thisisme #identify #StrapBack #funny #lipsync #usethissound #sharethis #shareit,142300,1570,243,ryan_smith00,Ryan Smith,False,original sound,Tik Toker,True,8
6907990866284088578,Smooth enough?🔥...Viral kyu nhi ho rha mein🥀💔 Foryou? #raplikechester #jontysquad #faheemsajjad07 #standwithkashmir #slowmo #transition,132300,231,125,faheemsajjad07,𝓕𝓪𝓱𝓮𝓮𝓶 𝓢𝓪𝓳𝓳𝓪𝓭🥀,False,Sahiba,Intense,False,7
6888750527845485825,Responder a @user709420874 #horadearrasar,128500,48,150,lucasfroes5,Lucas Froes,False,Cabaré,Nêgo Jhá©,False,18
6903317821770484994,Missing this weather😢 @katelyn_thompson_ #fyp #gymnastics #tumbling #cheer #flips,511200,388,460,justintea,Justin Thompson,False,Hips Dont Lie by Shakira,goalsounds ,True,12
6904645678018923777,#الحق #مسيحين #يسوع #الانحيل #محبه #يوم الحساب #القيامة#bijbel #respect #christelijk,23200,10,1206,ayadoo79,Ayad,False,origineel geluid,Ayad,True,15
